협력대학기관,연도,분야,연구ID,제목,참여학생,소속고등학교,지도교사,지도교수,연구요약,주제어
POSTECH,2024,융합,자_8_융합_33,,김민결･유시현･임한빈･최강현,인천과학고등학교,임한빈,서종철,"최근 한국의 급속한 경제 발전에 힘입어 많은 산업적 성장이 이루어졌지만, 그에 따른 부작용으 경 문제 중 하나로 주목받고 있다. 이에 우리는 광촉매를 활용하여 수질 오염 물질을 분해함으로 써 수질정화를 도모하는 방안을 연구하 였다. 본 연구에서는 TiO₂ 광촉매와 365nm 파장의 자외 선을 이용하여 오염 물질을 분해하였으며, 분해가 완료된 후 원심분리기를 사용하여 촉매를 효과 적으로 분리하였다. 물질의 분해 정도는 분광광도계를 통해 정량적으로 측정하였으며, 이를 위해","수질 오염, TiO 2 광촉매, 자외선, 분광광도계, 색소"
POSTECH,2024,융합,지_8_융합_49,실버나노와이어 합성 및 실버나노와이어를,김구범･한연우･김성훈,경북과학고등학교,곽희진,한세광,"투명전극에는 가장 널리 사용되고 있는 ITO와 금속 나노 와이어, 그래핀 등이 있다. 하지만 플렉 시블 디스플레이에는 휘어지지 않는 그래핀, ITO는 사용되기 어렵다. 본 연구에서는 차세대 투명 유연전극인 실버나노와이어를 사용하여 실버나노 와이어 만의 강점인 높은 전기 전도성과, 투명성 게 설계한 의료용 투명 스마트 밴드를 직접 제작하였다. 실버 나노 와이어를 합성하는 과정에서 투명 전극에 적합한 합성 온도와 반응 시간을 도출하였으","실버나노 와이어, 투명유연전극,스마트 밴디지"
POSTECH,2024,융합,지_8_융합_50,소리굽쇠의 특성과 소리와의 상관관계 탐구,김동우･김우진･김윤서･손유찬,경북과학고등학교,강종현,윤건수,"본 연구는 기존의 소리굽쇠 모양인 U자형 이외에 다른 다양한 형태, 종류와 두께의 소리굽쇠를 이용하여 소리를 발생시키게 된다면 U자형 소리굽쇠와 비교하여 음색이 어떻게 변하는지 탐구하 는 연구이다. 또한, 판의 재질이나 모양에 따라서 왜 그러한 소리의 특성을 나타나게 되는것인지","소리굽쇠, 파동, 공명, 진동"
POSTECH,2024,융합,지_8_융합_51,오케스트라 공연 홀 내부에서의 최적의 청취를,이재우･최재훈･홍주희･황서영,경산과학고등학교,박경진,윤건수,"오케스트라에서 각 위치마다 소리가 다르게 들린다는 선행 연구와 전문가 인터뷰를 접한 뒤 음악 감상에 있어서 가장 이상적인 좌석은 어디인가에 대한 호기심으로부터 본 연구는 시작되었다. 고 정된 장소를 설정하여 일정한 소리를 지속적으로 발생시키고 소리를 측정하는 공간의 구역을 세 분화하여 음향을 측정하고 녹음하였다. 그 후 REW 프로그램을 사용하여 음압레벨, 임펄스 리스 펀스, 잔향 시간 등의 파라미터를 추출한 뒤, 분석을 수행하였다. 이를 통하여 최적의 음악 감상","오케스트라, 소리의 조화성, 공간 음향, 실내 음향, 음악 감상"
POSTECH,2024,융합,지_8_융합_52,양자물리학을 통한 음악적 사고의 확장 및,김시언･김태민･안태섭･이준서,경산과학고등학교,최재혁,윤건수,"본 연구는 자연 소리를 정량적으로 분석하여 소리 분류 모델을 개발하고, 자연 소리의 과학적 분 다양한 분석 방법을 통해 각 소리의 특성을 파라미터로 추출하고, 각 소리 유형이 특정 파라미터 값 범위에 집중되는 경향을 시각적으로 분석하였다. 분석 결과, 소리 유형에 따라 주요 파라미터 82%의 분류 정확도를 달성하였다. 본 연구는 자연 소리의 특성을 체계적으로 규명하여 청각 자","자연 소리, 파라미터 수치화, 소리 분류 기준, 소리 예측 모델"
POSTECH,2024,융합,지_8_융합_59,바이메탈 나노촉매를 이용한 당뇨 연속 모니터링 디바이스,이지윤･정승현･이은서,대전동신과학고등학교,임영후,한세광,"량을 연속적으로 관리 가능하도록 금과 백금을 이용한 나노 촉매를 통해 혈당량의 수치를 효과적 사용하고, 포도당과의 반응을 촉매하기 위해 Au@Pt NP 촉매를 사용하였으며, Zeta potential 분석과 크기 분석을 통해 촉매 합성 유무를 검증하였다. 최종적으로, 설계한 장치가 당의 농도를 변화시켰을 때 전류의 변화가 명확히 나타나는 결과를 얻었다. 본 연구를 통해 체액 속 혈당량을 연속적으로 측정할 수 있는 패치를 제작하여 당뇨병 환자들이 겪는 어려움을 효과적으로 도울 수","바이메탈 나노촉매, 모니터링 디바이스, 맞춤형 의료"
POSTECH,2025,융합,지정_융합_38,음악과 신경과학의 만남,,경남과학고등학교,조은영,윤건수,특정 코드 진행에는 그에서 느껴지는 감정이 존재한다. 본 연구에서는 코드 진행 속의 어떤 요인 들이 어떻게 감정에 영향을 미치는지 알아본다. 감정을 Thayer 감성 모델을 통해 조작적으로 정의 하였으며 AI 모델을 학습시킨 후 분석해 최종적으로 감정에 영향을 주는 코드 진행 속 요인들의,"음악, 코드, 감정, AI"
POSTECH,2025,융합,지정_융합_40,신경과학과 물리와 음악의 만남! 질리지 않는,"이를 위해 홀 모형을 직접 제작하고, 다양한 크기로 기타의 원형 홀을 가공하여 변인을 통제한다.",경북과학고등학교,방민영,윤건수,"본 연구는 악기 울림통의 홀 크기의 변화가 소리의 진폭과 파형에 미치는 영향을 규명하고자 한다. 빈도를 분석한다. 이론적 배경으로는 배음 구조, 헬름홀츠 공명 이론, 그리고 푸리에 변환을 활용 주파수 특징의 상관관계를 탐구함으로써 현악기 음향학 이해를 넓히고, 향후 악기 설계학에 기여","배음, 푸리에 변환, 헬름홀츠 공명, 홀의 형상, 파동 역학"
UNIST,2024,물리,자_2_물리_23,수중 환경에서의 브라키스토크론 문제에 관한,이승헌･이현서･지현욱,경산과학고등학교,최재혁,장봉수,"실제로 독수리의 경우 진공에서의 브라키스토크론 문제의 해인 사이클로이드 곡선을 따라 강하한다. 이러한 물리적 분석방법이 어류인 경우에도 비슷하게 존재할 것인가라는 생각에 착안하여 본 연구를 진행하였다. 연구에서는 실제로 관상용 물고기인 시클리드의 운동 경향성을 트래킹을 통해 확인하고, 수치해석을 통해 수중 브라키스토크론 문제의 근사적 해를 탐색하여 실제 시클리드의","브라키스토크론, 사이클로이드, 최적화, 수치해석, 시클리드"
UNIST,2024,화학,지_4_생물_66,동물대체시험법 간독성을 측정할 수 있는 간 오가노이드를 제작,공하현･정인지･최하늘,전북과학고등학교,최안나,김정범,"배아줄기세포 연구는 윤리적 논란과 면역거부반응 문제를 동반한다. 오가노이드는 특정 기관의 미 세환경을 모방하여 해당 기관의 기능과 구조를 재현하는 3차원 세포집합체이다. 배아줄기세포의 문제점을 보완할 수 있으면서도 동물 실험을 대체할 수 있고, 인간에게 더 안전한 치료법을 제공 하는데 기여 할 수 있는 오가노이드를 연구해 보고자 한다. 간줄기세포와 혈관내피세포를 공배양(Co-Culture)하고, albumin과 cd31을 표지하는 항원을 이","간오가노이드, 바이오마커, 간줄기세포, ICC, 공배양"
㈜코러스트(민간기업),2024,수학,자_1_수학_31,볼록 사각형의 방접 타원에 대한 연구,나현석･박제열･신유안･최수헌･이은기,대전과학고등학교,조영민,차영규,"본 연구에서는 삼각형의 방접 타원을 사각형으로 확장하여 볼록 사각형의 방접 타원을 정의하고, 대한 방접 타원이 서로 닮음임을 밝혔으며, 닮음의 중심을 찾고 증명하였다. 이를 바탕으로 볼록 사각형의 방접 타원의 장축 길이 사이의 관계를 발견하였다. 본 연구를 통해 삼각형에서 정의되는 방접 타원을 볼록 사각형으로 확장하여 정의할 수 있었다. 이렇듯 수학적 개념을 좀 더 넓은","방접 타원, 내접 타원, 장축의 길이, 닮음"
㈜코러스트(민간기업),2024,수학,자_1_수학_32,슈타이너 외접 타원과 마든의 정리의 확장에,이순호･김재준･노진우･조영민,대전과학고등학교,조영민,차영규,"본 연구에서는 아핀변환 및 사영변환을 활용하던 기존의 연구 방법과는 다르게 타원의 기하적 성질, 슈타이너 외접 타원에 대해 연구하였다. 본 연구를 통해 다음과 같은 결과를 얻을 수 있었다. 마든의 정리를 발견하였다. 다섯째, 사각형의 슈타이너 외접 타원을 정의하고 존재성 및 유일성을 일곱째, 사각형의 슈타이너 외접 타원에 대한 마든의 정리를 발견하였다. 본 연구를 바탕으로","삼각형, 사각형, 슈타이너 외접 타원, 슈타이너 내접 타원, 마든의 정리"
경남대학교,2024,수학,자_1_수학_56,몬테카를로 시뮬레이션을 이용한 스트림스봇,박성민･김도현･이준성,창원과학고등학교,오지훈,서샛별,"본 연구는 스트림스 게임에서의 가장 효율적인 게임 전략을 탐구한다. 직접 스트림스 게임을 진행해 보며 여러 게임 전략을 구상한 후 이 게임전략을 스트림스 게임에 앞서 구상한 게임전략을 적용 하여 코드를 작성하고 이를 이용하여 몬테카를로 시뮬레이션을 통해 스트림스 게임에서 각각의 게임전략에 대한 평균점수를 도출해낸 후, 수학적 분석을 통해 상황에 따라 가장 적절한 스트림스 게임에서의 게임 전략이 무엇인지 확인한다. 그 이후 스트림스 봇을 상황에 따라 가장 적절한","몬테카를로, 스트림즈 게임, 몬테카를로, 파이썬, 조건부확률, 상황별 최적화"
경북대학교,2024,수학,자_1_수학_20,가우스 다항식환에서의 인수분해에 대하여,김세홍･이선재･우민준,대구일과학고등학교,곽정아,임정욱,"가우스 다항식환에서의 인수분해는 다항식의 대수적 구조를 이해하는 데 있어 중요한 주제이다. 본 보고서에서는 가우스 다항식환을 보다 깊이 있게 이해하기 위해 그 기반이 되는 헐위츠 다항 식환에서의 성질을 간단하게 알아본다. 또한 헐위츠 다항식환은 다항식의 인수분해와 관련된 여러 중요한 특성을 지니고 있으며, 이러한 특성들이 가우스 다항식환에서도 적용되는지 살펴본다. 본 연구에서는 다양한 종류의 다항식에 대해 인수분해 가능성을 조사하고, 헐위츠 다항식환에서 확인한","가우스 다항식환, 인수분해, 기약다항식"
경북대학교,2024,수학,자_1_수학_21,헐위츠 다항식환에서의 산술,권민재･김나린,대구일과학고등학교,곽정아,임정욱,"이 논문은 헐위츠 다항식의 인수분해를 다루기 위해 헐위츠 다항식환 의 구조적 특성을 (ED)일 동치 조건을 찾고, 이러한 조건들이 헐위츠 다항식의 인수분해에 미치는 영향을 체계적으로 가 정역이 될 필요충분조건을 도출 한다. 이어서, PID와 ED가 될 조건들을 구체적으로 제시하고, 이들 조건이 어떻게 상호 연관 되는지 분석한다. 또한, 각 조건이 성립할 때 헐위츠 다항식의 인수분해가 어떻게 이루어지는지를","헐위츠 다항식환, 유클리드 정역, 주 아이디얼 정역, 정수값을 갖는 다항식환"
경북대학교,2024,수학,자_1_수학_22,,이조슈아･이종현･장준서,대구일과학고등학교,손주희,양승엽,"연구 분야로서 저차원 다양체의 연구뿐만 아니라 물리학, 생물학, 화학 등 다양한 과학 분야에서도 그 활용 범위를 넓혀가고 있다. 한편, 퀀들 이론은 자기 분배법칙을 만족하는 대수적 구조에 대한 이론으로, 매듭 이론의 연구와 더불어 비결합 대수학의 연구에 널리 활용되고 있다. 본 연구에서는 이를 활용한 조합적 매듭 불변량을 활용하여 매듭과 고리의 위상수학적 특징을 분석하고 비교하며 새로운 매듭 분류 방법론의 가능성을 탐구하였다.","매듭, 매듭의 분류, Fox -채색, 퀀들(quandle)"
경북대학교,2024,수학,자_1_수학_54,,박한결･강련욱･조윤형,창원과학고등학교,손혜선,최하영,"방법에 대해 탐구하고자 하였다. 탐구결과, 약수에 대한 무한곱을 감마함수에 대한 무한곱으로 자연수에 대한 제타함수의 함숫값을 일반적인 극한식 형태로 표현할 수 있었다. 추가적으로 짝수에 대한 제타함수의 함숫값을 사용하여 베르누이 수를 구하는 방법을 제안하였고, 이러한 방법을 응용한다면 홀수에 대한 제타함수의 함숫값을 구하는데 활용할 수 있을 것으로 기대된다. 본 논문을 통해 제타함수, 감마함수, 약수 간의 관계를 연구하며 자연수에 대한 제타함수의 함숫값을","약수, 감마함수, 제타함수, 베르누이 수, 극한"
경북대학교,2024,화학,자_4_생물_16,광민감성 단백질을 이용한 세균의 특이적 파괴,우연서･김하랑･조휘슬,경산과학고등학교,김준호,이상규,"그중에서도 광민감성 단백질을 활용한 연구가 많은데, 광민감성 단백질이 발현된 세포가 연구 실 다. 따라서 본 연구에서는 광민감성 단백질인 채널로돕신이 발현된 세포를 특이적으로 제거 및 비활성화하는 방법을 제시하고 그 효과를 검증하고자 하였다. 대장균 형질전환을 진행하여 원하는 플라스미드를 추출한 뒤 형질 주입을 통해 세포에 채널로돕신을 발현시켰다. 그 후 채널로돕신에 배지에 세포를 배양한 후 청색광을 비추고 저장액에 처리해 삼투압을 통해 세포를 손상시키는 것","채널로돕신, 광민감성, 대장균, 이온 채널, 삼투압"
경북대학교,2024,정보,자_6_정보_22,딥러닝을 위한 효율적인 연산기 설계 연구,최우창･정석현･박한회,대구일과학고등학교,이정민,김용태,"연구를 진행했다. AI의 학습의 결과는 효율성과 높은 정확도를 가져야한다. 즉 시간도 덜 걸리고 에너지도 덜 쓰는 효율적이고, 정확도가 높은 방법을 2가지를 고안했다. 두 방법 다 LOA방식의 두 방법들을 모두 정확한 덧셈 비트를 4개로 고정하고 다음 bit위치에 적용시켰을 때는 정확도","효율적인, 정확도가 높은, Approximate덧셈, 논리 게이트 Exact부분"
경북대학교,2024,융합,지_8_융합_53,,길은수･주현섭･권윤재,대구과학고등학교,이형준,오지민,최근 전기차의 수요가 증가함에 따라 향후 5~10년  간의 리튬 이차 전지의 폐배터리의 양이 크게 증가할 것으로 예상된다. 이에 폐배터리를 재사용할지 배터리의 유가금속을 재활용할지 결정하기 위해 폐배터리의 상태를 진단하는 리튬 전주기 활용 기술이 필요하다. 리튬 전주기 활용은 리튬 용하거나 폐기하는 과정까지의 모든 단계를 의미한다. 현재 폐배터리 상태 진단 기술은 시간이 전지를 다양한 환경에 노출시켜가며 전압을 측정하여 리튬 전지의 노화 상태를 파악함으로써 리,"리튬 이차 전지, 전주기, 사용 후 배터리"
경북대학교,2024,융합,지_8_융합_61,모빌리티 핵심기술인 이차전지 기술에 대해서 알아보자!,한우진･이채원･강윤수･정우진･최서연,세종과학고등학교,박미경,오지민,"최근 들어서 모빌리티(차, 지하철 등)가 많이 이용되면서 그 핵심 기술인 이차전지 기술이 중요해 지고 있다. 하지만 현재 이차전지의 효율을 높이는 기술에 관한 연구는 필요성을 따라오지 못한 리량을 측정하였고, 정량적 비교 분석을 통해 과일 전지의 개선 방향을 제시하였다. 또한, 여러 과일전지의 효율을 높일 방법들을 직접 실험 해보면서 무게당 전력을 비교하여, 실용적이고 효율 적인 전지 제작 방법을 연구하였다. 결과적으로, 레몬을 조각내어 파라 필름으로 묶어낸 것과 레","과일 전지, 무게당 전력, 효율"
경북대학교,2025,수학,자율_수학_10,보로노이 다이어그램을 활용한 실종자 추적 프로그램 제작 및 활용,"본 연구는 실종자의 위치를 예측하고, 수색 구역과 골든타임을 도출하는 프로그램의 구축에 목적이",경기북과학고등학교,조동기,최하영,"있다. 베이즈 정리의 접근 방식, 전이 확률, 몬테카를로 시뮬레이션, 보로노이 다이어그램 등 여러 수학적 원리를 응용하였으며, 이를 Python 언어를 통해 실종 위치와 실종자의 정보를 입력하면 보로노이 다이어그램 분할, 골든 타임을 도출할 수 있었다. 또한, 시뮬레이션 시 경과 시간, 관찰하였다. 이를 통해, 설정한 변수들이 의도대로 확률 분포에 영향을 미치는 것을 확인하였으며, 프로그램의 활용 가능성을 제시하였다.","실종자, 보로노이 다이어그램, 전이 확률, 몬테카를로 시뮬레이션"
경북대학교,2025,정보,지정_공학_29,금속 이온 또는 산성도의 변화를 이용한 광학,"가에 따른 형광 세기의 변화를 확인했으며, 이러한 결과는 HQS가 미량의 Al 3+를 감지할 수 있는",대구과학고등학교,이형준,김종호,알루미늄 이온(Al 3+)은 환경과 인체에 누적될 경우 독성을 나타내기에 간단하고 정밀한 분석법이 알루미늄 이온의 농도를 정량적으로 분석하는 간단한 방법을 제시한다. 연구 결과 Al 3+의 농도 증,"HQS(8-hydroxyquinoline- 5-sulfonic acid), 알루미늄 이온, 형광"
경북대학교,2025,융합,지정_융합_33,리튬 전주기 활용을 위한 리싸이클 연구,"최근 리튬 이차 전지는 여러 이점으로 휴대전화, 전기차 등 다양한 분야에 활용 되어지고 있다.",대구과학고등학교,이형준,오지민,"이렇게 리튬 이차전지의 수요가 증가함에 따라 리튬 전주기를 위한 기술 탐색이 중요시되고 있는 가운데, 본 연구는 합성 공정의 차이에 따른 리튬전지 전극의 구조 및 성능 상관관계를 분석하고자 하였다. 본 연구에서는 고가의 실험 장비를 사용하지 않고 NCA 폐배터리 전극 내부 유가금속 침출 및 NCA 전극 제조 실험을 진행하였다. 이에 5개의 전극을 제조하였으며 대부분의 전극이 선행 연구에서의 전극과 전기화학적 반응성이 유사함을 확인할 수 있었고, 열악한 환경에서 제조하였음","리튬 이차 전지, 전극 제조, 전주기, 재활용"
경북대학교,2025,융합,지정_융합_35,interconnected LLZO 고체 전해질 제작에서,"결하였으며, 주사전자현미경(SEM)과 에너지 분산형 X선 분광기(EDS)를 이용해 시료의 입자 구",대구과학고등학교,전경희,오지민,"본 연구는 interconnected 형 고체전해질인 Li 7La3Zr2O12(LLZO)의 소결 온도 변화가 미세구조 조와 원소 조성을 비교하였다. 그 결과, 750℃ 에서는 결정화가 불완전하고  유기물 잔류가 확인되 었으나, 850℃에서는 입자가 조 밀하고 균질한 결정형을 나타내었다.  반면 900℃에서는 과도한 입자 성장으로 균질성이 저하되었다. 따라서 850℃ 조건이  interconnected LLZO의 구조적 안","전고체 전지, 산화물계 고체 전해질, LLZO, 전해질 제작"
경상국립대학교,2024,화학,자_4_생물_09,해파리의 젤라틴을 활용한 친환경 멀칭 막,강가희･이지민･이하림･황수민,경남과학고등학교,김영수,전병균,"현재 비닐 멀칭재는 그 편리성으로 농가에서 흔히 사용되지만, 재활용이 어렵고 생분해가 되지 않아 환경오염을 야기한다. 본 연구에서는 해파리에서 추출한 젤라틴과 바이오차를 혼합한 한천 필름으로 생분해성 멀칭 필름를 제작해 보고 기능성을 확인해보려고 하였다. 제작된 생분해성 멀칭 필름과 현재 사용되고 있는 멀칭 비닐의 기능성을 비교하여 그 실용성을 검증한다면 농촌에서의","멀칭, 생분해성, 바이오차, 해파리"
경성대학교,2024,정보,자_6_정보_32,,이준서･제영민･김세준,부산일과학고등학교,황윤환,박장식,"우리나라에 위치하고 있는 많은 양의 옹벽들에 소모되는 인력을 줄이기 위해 객체인식을 할 수 있는 딥러닝 모델인 YOLO를 활용하여 옹벽의 외부문제를 실시간 탐지하기 위해 옹벽에 나타나 는 주요 문제들인 옹벽의 균열, 백태, 배수구 막힘, 박리 현상을 수집하여 모델을 학습시킨다. 이 식증류법을 통해 학습시키고 m, l 모델을 Teacher model로 s모델을 Student model로 지식증 류법을 통해 학습시키고 l모델을 Teacher mod el로 m모델을 Student model로 지식증류법을","객체 탐지, YOLO, 옹벽 이상, 지식증류"
경희대학교,2024,화학,자_4_생물_51,,"음파, 감광제, 포도당 수송 저해제가 흑색종에",인천과학예술영재학교,조항설,엄기환,"해제(Phlorizin)의 영향을 분석하고 예측 모델링을 수행하였다. 실험을 통해 각각의 요인이 암세포 적인 접근법을 제시하고자 하였다. 음파와 빛 조사, 저해제 투입 조건에서 피부 유래 세포주의 세포사멸율과 유전자 발현 변화를 분 석한 결과, 음파를 조사했을때 조 직병리학적으로 정상세포(Detroi t-551)에 비해 흑색종 세포 (SK-MEL-28)의 세포사멸율이 높았지만 유전자 발현량에서는 유의미한 차이를 보이지 않았다.","항암, 흑색종, 음파, 포도당 수송 저해, 활성 산소 유발"
국가수리과학연구소,2024,수학,지_1_수학_65,미분방정식의 수치해 계산,김영주･김태우･이동건･전대원･최승호,대구과학고등학교,박진환,하태영,"본 연구는 물리적 현상을 기술하는 미분방정식의 수치해를 구하는 방법으로서 고전적 수치해석 기법과 딥러닝을 활용한 접근법을 비교·분석하는 데 목적이 있다. 기존의 수치해석적 방법은 오일러 방법을 적용하여 미분방정식의 근사해를 구하는 데 사용하며, 딥러닝 기반 접근법은 인공 신경망 및 물리기반 신경망을 활용하여 복잡한 미분방정식의 해를 학습한다. 특히 본 연구는 미분 방정식의 역문제 해결에 초점을 맞추어 기울기 소실 문제를 최소화하고, 수치해와 실제 해 사이의","미분방정식, 수치해석, 딥러닝, PINN"
국가수리과학연구소,2024,수학,지_1_수학_68,미분방정식의 수치해 계산,고건화･최진욱,충남과학고등학교,박태형,하태영,"본 연구는 미분방정식에 대한 기본적인 배경과 미분방정식의 수치해를 계산하는 다양한 방법, 그리고 딥러닝을 이용해 미분방정식의 역문제를 해결하는 방법 등에 대한 이해를 바탕으로 한다. 우리는 자연 현상 또는 사회 현상을 기술하는 기존의 미분방정식에 이러한 방법들을 적용하여 현상의 동태를 분석하고 예측하여 보았다. 본 보고서에서는 특히 질병 전파 과정을 미분방정식 형태로 모델링한 SEIR 모델에 수치해 계산 방법과 딥러닝을 적용하여 매개변수를 예측하는 과정의","미분방정식, 수치해석, 딥러닝, SEIR model"
국가수리과학연구소,2024,수학,지_1_수학_69,원형 물체를 최적으로 배치하는 평면 및 공간 채우기: 효율적인 패킹 알고리즘 연구,이창현･이기율･정상수,충남과학고등학교,정성권,우영호,"본 연구는 제한된 공간 내에서 원형 물체를 효율적으로 배치하여 공간 활용도를 최대화하는 패킹 알고리즘을 연구하는 데 목적을 두고 진행되었다. 본 연구에서는 원형 물체의 최대 밀집 배치를 위한 여러 알고리즘을 구현하고 성능을 분석하였다. 첫 번째 알고리즘은 무작위 위치에 원을 배치 외곽에서 안쪽으로 채우기 및 중심에서 바깥으로 채우기)을 실험하여, 평균적으로 약 60%대의 점유율을 나타내는 최적의 배치 방법을 확인하였다.","원 채우기, 구 채우기, 패킹 알고리즘"
국가수리과학연구소,2024,융합,자_8_융합_25,2040년 세종시의 노인 인구 비율 변화에 따른 최적의 버스노선 제안,성효재･이지원･김서현･이도헌,세종과학예술영재학교,김대중,이순주,"본 연구는 2040년 세종시의 인구 변화를 예측하고,  고령화 사회에 대비한 최적의 버스노선을 제 안하는 것을 목표로 한다. 기존 버스노선과 관련 정책의 한계를 보완하여, 노인 친화적인 노선 설 계를 시도하였다. 연구에서는 시계열 분석을 통해 2040년 세종시의 인구 변화를 예측하였고, 버 이터를 사용해 목적함수를 개발하였다. 이 목적함수를 통해 현재 존재하는 버스 정류장에 가중치 를 부여하고, 이를 기반으로 다양한 노선을 설계하였다. 설계된 노선들을 대상으로 거리와 시간","고령화 사회, 대중교통 접근성, 버스노선 최적화"
국가수리과학연구소,2025,수학,지정_수학_05,,김소연 · 이혜윤 · 임명민 · 한겸재,충남과학고등학교,박태형,우영호,"본 연구는 두 곡면의 교선을 그뢰브너 기저를 활용하여 대수적으로 분석하고, 이를 3차원 시각 화해 비교함으로써 두 방법 간의 차이를 검증하였다. 열린-열린, 열린-닫힌, 닫힌-닫힌 곡면 하지 않았다. 닫힌 곡면에서는 정의역의 경계와 복소해의 영향으로 두 방법 간 불일치가 나타났다.","Gr öbner 기저, 교선, 대수적 집합, 닫힌 곡면, 투영"
국가수리과학연구소,2025,수학,지정_수학_08,일변수 다항식을 일차식의 거듭제곱의 합으로 표현하기,정성규·정성우,한성과학고등학교,김완규,우영호,"본 연구는 Apolarity 보조정리를 활용해 다항식을 일차식의 거듭제곱의 합으로 표현할 수 있는 조건을 탐구하였다. 기존의 와링 문제를 정수 영역에서 다항식 영역으로 확장하고, 이변수 다항식의 편 미분과 선형결합을 통해 계수비 조건을 도출하였다. 이를 만족할 때 다항식이 소수 개의 일차 식의 제곱의 합으로 표현 가능함을 증명하였다. 또한 정수계수 일차다항식을 정수나 정수계수 일차다항식의 세제곱의 합으로 표현할 때 필요한 최소 개수의 최댓값을 구해 2차 다항식 확장","합함수, 다항식, 유한개의 항, 와링 문제"
기초과학연구원(IBS),2025,화학,자율_화학_43,자성 나노입자를 이용한 알칼로이드계 물질,암모니아 수용액으로 pH를 조절한 뒤 에탄올과 TMAOH로 세척·분산하여 균일한 분산성을 확보,대전과학고등학교,이충섭,윤원구,"본 연구에서는 신속 대응이 가능한 환경 정화용 소재 개발의 기초 단계로 마그네타이트(Fe 3O4) 자성 나노입자를 공침법으로 합성하였다. FeCl 2 ∙ 4H2O와 FeCl 3 ∙ 6H2O를 전구체로 사용하고, 하였다. 합성된 나노입자는 DLS 분석을 통해 입자 크기와 응집 정도를 확인하였으며, 재실험을 통해 자성 나노입자를 합성하였고, 알칼로이드 간의 흡착 정도의 차이를 활용하여 자성 나노입자를 통해 알칼로이드류 화합물을 분리할 수 있음을 입증하였다. 이러한 결과는 본 연구에서 합성한","알칼로이드류 화합물, 자성 나노입자, 흡착, 분리, 표면 개질"
동국대학교,2024,화학,자_3_화학_53,,김건우･김도윤･김서윤･김현준,세종과학예술영재학교,김재숙,진하늘,"필터의 제작에 관한 연구가 활발히 진행되고 있다. 그런 상황에서, MOF(금속유기골격체)에 대한 제 폐수와 유사한 환경에서의 중금속 경쟁흡착 특성에 대한 연구가 필요하다. 다공성 구조로 중 금속 흡착성능이 뛰어난 MOF의 경쟁흡착 특성을 파악하기 위해, 여러 MOF 중에서 MOF-5와 ZIF-8을 직접제작하였다. 그중 구조가 안정된 ZIF-8의 흡착 특성을 분석한 후, 실제 폐수와 유 사한 농도의 중금속 혼합 용액에 대한 경쟁흡착 실험을 진행함으로써, ZIF-8에 대한 각 중금속의","MOF, 중금속, 경쟁흡착, 폐수, ZIF-8"
동국대학교,2024,화학,자_3_화학_54,,김준영･이우석,세종과학예술영재학교,김기향,진하늘,"본 연구는 CNT 혼합 콘크리트의 균열 감지 가능성을 평가하였다. CNT는 질산-황산 혼합물 산처 리로 소수성 개선을 통해 균일한 분산을 유도하여 물리적 ․ 전기적 특성을 분석하였다. 실험 결과, CNT함량이 증가하였을 때, 산처리가 진행되지 않았을 때 전기전도도가 높아졌으며, 산처리된 편차가 커 관계식 도출은 불가하였으나 다른 배합비 시편 간 편차보다는 작아 경향성 분석은 수 압축 강도 실험에서 CNT 함량이 증가하였을 때, 산처리가 진행되었을 때 C-S-H가 더 많이 형","탄소나노튜브(CNT), 산 처리, 자기감지, 4-전극법, 비파괴검사"
동서대학교,2024,정보,자_7_공학_19,,김현우･오준호･전재민･김단우,부산일과학고등학교,김승만,지용석,"본 연구는 ROS(Robot Operating System)와 라즈베리파이(Raspberry Pi)를 활용하여 자 율주 행 모형차를 제작하고, 차선 인식 및 자율주행 알고리즘을 구현하는 데 초점을 맞추었다. 단안 카 메라를 센서로 활용하여 카메라 캘리브레이션(intrinsic, extrinsic)을 수행하였으며, 이를 통해 차 기술을 적용하여 제작된 모형차의 성능을 테스트하였다. 연구 결과, 체스보드 패턴을 활용한 캘리 브레이션이 차선 인식의 정밀도에 크게 기여하였으며, 개선된 보정값을 반영한 자율주행 시스템이","카메라 기반의 자율주행, ROS, 차선 인식, calibration"
동서대학교,2024,정보,자_7_공학_20,라이다를 활용한 ROS(Robot Operating,곽태현･이지헌･장준호,부산일과학고등학교,김승만,지용석,"을 통해 로봇이 올바르게 경로를 탐색하고 이동할 수 있도록 하는 것을 목표로 진행되었다. 작을 성공적으로 수행하여 원활하게 작동함을 확인하였다. 그리고 장애물 환경을 만들고 SLAM(Simultaneous Localization and Mapping) 과정을 수행하여 로봇이 실시간으로 위치를 추정하고, 환경 지도를 구축하여 자율적으로 최적 경로를 탐색하게 하였다. 이 과정에서 팽창계수 를 변경하며 각 환경에서 최적의 팽창계수를 찾아봤다.","자율주행 자동차, ROS(Robot Operating System), Turtlebot3, LiDAR, SlAM"
